config,tot,passed_count,pass%,Input,Output,Cost_Total,step,passed_step,Cache,Cost,Cost+,keep%,Add_Input,Add_Output,turn_capped%
play_gemini3flash_skip,200,145,72.5,1150.9742350000001,6.128115,0.21562999025000007,50.93,47.310344827586206,840.536605,0.21562999025000007,0.0,,0.0,0.0,0.05
play_qwen3-235b_skip,200,93,46.5,1346.539425,6.474405,0.09096198300000004,46.115,35.83870967741935,1171.189005,0.09096198300000004,0.0,,0.0,0.0,0.155
play_qwen3-30b_skip,200,93,46.5,925.408285,10.74186,0.05459604578571429,41.235,34.505376344086024,792.88242,0.05459604578571429,0.0,,0.0,0.0,0.01
play_gemini3flash_random,200,134,67.0,1075.23604,6.68574,0.18959171900000002,66.97,61.582089552238806,817.96338,0.18959171900000002,0.0,25.030871768773284,0.0,0.0,0.19
play_qwen3-235b_random,200,78,39.0,875.196,7.615825,0.06794959914285713,60.805,43.55128205128205,742.03967,0.06794959914285713,0.0,25.027459427739696,0.0,0.0,0.345
play_qwen3-30b_random,200,77,38.5,762.8268,13.266865,0.06164335628571431,56.495,44.64935064935065,586.91696,0.06164335628571431,0.0,25.032558944660764,0.0,0.0,0.11
play_gemini3flash_lingua,200,139,69.5,906.20895,6.430350000000001,0.14686461374999998,62.835,58.02877697841727,723.402025,0.14686461374999998,0.0,23.200855830319817,0.0,0.0,0.14
play_qwen3-235b_lingua,200,73,36.5,796.701285,7.32118,0.06896968142857142,55.395,39.06849315068493,649.5468000000001,0.06896968142857142,0.0,23.414281321937676,0.0,0.0,0.275
play_qwen3-30b_lingua,200,80,40.0,745.77424,13.168790000000001,0.0578285055,56.525,42.7,587.31449,0.0578285055,0.0,22.670690694867226,0.0,0.0,0.11
play_gemini3flash_llm-summary,200,134,67.0,896.44914,5.758285,0.19158042825000002,61.75,53.85820895522388,649.800865,0.17308903575,0.0184913925,5.150074679942733,30.168795,1.135665,0.2
play_qwen3-235b_llm-summary,200,85,42.5,833.083095,7.724665,0.08890768671428571,51.44,34.294117647058826,648.751485,0.08003011957142857,0.008877567142857142,4.0067306831532274,27.593425,0.869515,0.29
play_qwen3-30b_llm-summary,200,86,43.0,698.9592,10.97593,0.05723169160714285,44.235,35.23255813953488,561.398625,0.05091517660714285,0.006316514999999999,13.327636206404206,20.015849999999997,2.3653049999999998,0.045
play_gemini3flash_obs-mask,200,135,67.5,775.1982800000001,6.2925,0.06986729124999999,71.385,66.26666666666667,748.0207750000001,0.06986729124999999,0.0,0.7907989448330566,0.0,0.0,0.175
play_qwen3-235b_obs-mask,200,63,31.5,634.670505,8.81625,0.035011277571428585,67.045,39.317460317460316,608.217815,0.035011277571428585,0.0,0.7036323719690684,0.0,0.0,0.445
play_qwen3-30b_obs-mask,200,85,42.5,476.90797,10.376115,0.02816079578571428,51.99,43.23529411764706,429.99487,0.02816079578571428,0.0,0.8191685618644653,0.0,0.0,0.065
play_gemini3flash_ours,200,136,68.0,713.39585,6.314625,0.23324354474999998,51.93,47.154411764705884,523.619745,0.14001291475,0.09323063,24.532112601517603,127.83421000000001,9.771175,0.05
play_qwen3-235b_ours,200,86,43.0,1143.5633737373737,6.258858585858586,0.1260219942279942,49.95959595959596,35.13953488372093,972.7410606060605,0.08375195815295812,0.04227003607503607,36.0509150615126,71.60864141414142,19.08412121212121,0.175
play_qwen3-30b_ours,200,85,42.5,610.3699449999999,9.882344999999999,0.06931611803571427,42.485,35.0,502.395125,0.04237365267857142,0.026942465357142856,26.96643569093804,75.626105,12.52635,0.02
play_gemini3flash_attncompess,200,143,71.5,780.173585,5.45378,0.154264204,60.455,55.48251748251748,560.40873,0.154264204,0.0,57.44944711297924,0.0,0.0,0.085
play_qwen3-235b_attncompess,200,87,43.5,633.368216080402,6.218366834170855,0.07199046891600862,50.76381909547739,36.0,451.41671356783917,0.07199046891600862,0.0,51.685652369769784,0.0,0.0,0.215
play_qwen3-30b_attncompess,200,89,44.5,534.620025,10.202,0.05321687314285714,46.295,38.561797752808985,363.42513,0.05321687314285714,0.0,54.00366429327704,0.0,0.0,0.05
