I'll help you implement the necessary changes to fix the issue where `models.E015` is raised when `Meta.ordering` contains `__pk` of a related field. Let's start by exploring the repository structure and understanding the problem.

<antml:function_calls>
<antml:invoke name="bash">
<antml:parameter name="command">find /testbed -type f -name "*.py" | grep -E "(models|ordering)" | grep -v __pycache__ | sort | head -20</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>/testbed/django/contrib/admin/models.py
/testbed/django/contrib/auth/models.py
/testbed/django/contrib/contenttypes/models.py
/testbed/django/contrib/flatpages/models.py
/testbed/django/contrib/gis/db/backends/base/models.py
/testbed/django/contrib/gis/db/backends/oracle/models.py
/testbed/django/contrib/gis/db/backends/postgis/models.py
/testbed/django/contrib/gis/db/backends/spatialite/models.py
/testbed/django/contrib/gis/db/models/__init__.py
/testbed/django/contrib/gis/db/models/aggregates.py
/testbed/django/contrib/gis/db/models/fields.py
/testbed/django/contrib/gis/db/models/functions.py
/testbed/django/contrib/gis/db/models/lookups.py
/testbed/django/contrib/gis/db/models/proxy.py
/testbed/django/contrib/gis/db/models/sql/__init__.py
/testbed/django/contrib/gis/db/models/sql/conversion.py
/testbed/django/contrib/redirects/models.py
/testbed/django/contrib/sessions/models.py
/testbed/django/contrib/sites/models.py
/testbed/django/db/migrations/operations/models.py</function_results>

<antml:function_calls>
<antml:invoke name="bash">
<antml:parameter name="command">find /testbed -type f -name "*.py" -path "*/django/core/*" | grep -E "checks|validation" | head -20</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>/testbed/django/core/checks/database.py
/testbed/django/core/checks/urls.py
/testbed/django/core/checks/__init__.py
/testbed/django/core/checks/messages.py
/testbed/django/core/checks/compatibility/__init__.py
/testbed/django/core/checks/templates.py
/testbed/django/core/checks/translation.py
/testbed/django/core/checks/caches.py
/testbed/django/core/checks/model_checks.py
/testbed/django/core/checks/registry.py
/testbed/django/core/checks/security/__init__.py
/testbed/django/core/checks/security/base.py
/testbed/django/core/checks/security/csrf.py
/testbed/django/core/checks/security/sessions.py</function_results>

Let's look for the specific error E015:

<antml:function_calls>
<antml:invoke name="bash">
<antml:parameter name="command">grep -r "E015" /testbed --include="*.py" | head -20</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>/testbed/tests/admin_checks/tests.py:                id='admin.E015',
/testbed/tests/invalid_models_tests/test_models.py:                id='models.E015',
/testbed/tests/invalid_models_tests/test_models.py:                id='models.E015',
/testbed/tests/invalid_models_tests/test_models.py:                id='models.E015',
/testbed/tests/invalid_models_tests/test_models.py:                id='models.E015',
/testbed/tests/invalid_models_tests/test_models.py:                id='models.E015',
/testbed/tests/invalid_models_tests/test_models.py:                id='models.E015',
/testbed/tests/invalid_models_tests/test_models.py:                id='models.E015',
/testbed/django/contrib/admin/checks.py:                    id='admin.E015',
/testbed/django/db/models/base.py:                                id='models.E015',
/testbed/django/db/models/base.py:                    id='models.E015',</function_results>

Let's look at the models.E015 error in the Django models base file:

<antml:function_calls>
<antml:invoke name="str_replace_based_edit_tool">
<antml:parameter name="command">view</antml:parameter>
<antml:parameter name="path">/testbed/django/db/models/base.py</antml:parameter>
<antml:parameter name="view_range">[1800, 1900]</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>Here's the content of /testbed/django/db/models/base.py with line numbers (which has a total of 1904 lines) with view_range=[1800, 1900]:
  1800	        for f in cls._meta.local_many_to_many:
  1801	            # Skip nonexistent models.
  1802	            if isinstance(f.remote_field.through, str):
  1803	                continue
  1804	
  1805	            # Check if auto-generated name for the M2M field is too long
  1806	            # for the database.
  1807	            for m2m in f.remote_field.through._meta.local_fields:
  1808	                _, rel_name = m2m.get_attname_column()
  1809	                if m2m.db_column is None and rel_name is not None and len(rel_name) > allowed_len:
  1810	                    errors.append(
  1811	                        checks.Error(
  1812	                            'Autogenerated column name too long for M2M field '
  1813	                            '"%s". Maximum length is "%s" for database "%s".'
  1814	                            % (rel_name, allowed_len, db_alias),
  1815	                            hint=(
  1816	                                "Use 'through' to create a separate model for "
  1817	                                "M2M and then set column_name using 'db_column'."
  1818	                            ),
  1819	                            obj=cls,
  1820	                            id='models.E019',
  1821	                        )
  1822	                    )
  1823	
  1824	        return errors
  1825	
  1826	    @classmethod
  1827	    def _check_constraints(cls):
  1828	        errors = []
  1829	        for db in settings.DATABASES:
  1830	            if not router.allow_migrate_model(db, cls):
  1831	                continue
  1832	            connection = connections[db]
  1833	            if (
  1834	                connection.features.supports_table_check_constraints or
  1835	                'supports_table_check_constraints' in cls._meta.required_db_features
  1836	            ):
  1837	                continue
  1838	            if any(isinstance(constraint, CheckConstraint) for constraint in cls._meta.constraints):
  1839	                errors.append(
  1840	                    checks.Warning(
  1841	                        '%s does not support check constraints.' % connection.display_name,
  1842	                        hint=(
  1843	                            "A constraint won't be created. Silence this "
  1844	                            "warning if you don't care about it."
  1845	                        ),
  1846	                        obj=cls,
  1847	                        id='models.W027',
  1848	                    )
  1849	                )
  1850	        return errors
  1851	
  1852	
  1853	############################################
  1854	# HELPER FUNCTIONS (CURRIED MODEL METHODS) #
  1855	############################################
  1856	
  1857	# ORDERING METHODS #########################
  1858	
  1859	def method_set_order(self, ordered_obj, id_list, using=None):
  1860	    if using is None:
  1861	        using = DEFAULT_DB_ALIAS
  1862	    order_wrt = ordered_obj._meta.order_with_respect_to
  1863	    filter_args = order_wrt.get_forward_related_filter(self)
  1864	    ordered_obj.objects.db_manager(using).filter(**filter_args).bulk_update([
  1865	        ordered_obj(pk=pk, _order=order) for order, pk in enumerate(id_list)
  1866	    ], ['_order'])
  1867	
  1868	
  1869	def method_get_order(self, ordered_obj):
  1870	    order_wrt = ordered_obj._meta.order_with_respect_to
  1871	    filter_args = order_wrt.get_forward_related_filter(self)
  1872	    pk_name = ordered_obj._meta.pk.name
  1873	    return ordered_obj.objects.filter(**filter_args).values_list(pk_name, flat=True)
  1874	
  1875	
  1876	def make_foreign_order_accessors(model, related_model):
  1877	    setattr(
  1878	        related_model,
  1879	        'get_%s_order' % model.__name__.lower(),
  1880	        partialmethod(method_get_order, model)
  1881	    )
  1882	    setattr(
  1883	        related_model,
  1884	        'set_%s_order' % model.__name__.lower(),
  1885	        partialmethod(method_set_order, model)
  1886	    )
  1887	
  1888	########
  1889	# MISC #
  1890	########
  1891	
  1892	
  1893	def model_unpickle(model_id):
  1894	    """Used to unpickle Model subclasses with deferred fields."""
  1895	    if isinstance(model_id, tuple):
  1896	        model = apps.get_model(*model_id)
  1897	    else:
  1898	        # Backwards compat - the model was cached directly in earlier versions.
  1899	        model = model_id
  1900	    return model.__new__(model)
</function_results>

Let's search for where the E015 error is defined:

<antml:function_calls>
<antml:invoke name="bash">
<antml:parameter name="command">grep -B 10 -A 10 "models.E015" /testbed/django/db/models/base.py</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>                    fld = _cls._meta.get_field(part)
                    if fld.is_relation:
                        _cls = fld.get_path_info()[-1].to_opts.model
                except (FieldDoesNotExist, AttributeError):
                    if fld is None or fld.get_transform(part) is None:
                        errors.append(
                            checks.Error(
                                "'ordering' refers to the nonexistent field, "
                                "related field, or lookup '%s'." % field,
                                obj=cls,
                                id='models.E015',
                            )
                        )

        # Skip ordering on pk. This is always a valid order_by field
        # but is an alias and therefore won't be found by opts.get_field.
        fields = {f for f in fields if f != 'pk'}

        # Check for invalid or nonexistent fields in ordering.
        invalid_fields = []

--
        ))

        invalid_fields.extend(fields - valid_fields)

        for invalid_field in invalid_fields:
            errors.append(
                checks.Error(
                    "'ordering' refers to the nonexistent field, related "
                    "field, or lookup '%s'." % invalid_field,
                    obj=cls,
                    id='models.E015',
                )
            )
        return errors

    @classmethod
    def _check_long_column_names(cls):
        """
        Check that any auto-generated column names are shorter than the limits
        for each database in which the model will be created.
        """</function_results>

Let's look at the full context of the ordering check:

<antml:function_calls>
<antml:invoke name="str_replace_based_edit_tool">
<antml:parameter name="command">view</antml:parameter>
<antml:parameter name="path">/testbed/django/db/models/base.py</antml:parameter>
<antml:parameter name="view_range">[1690, 1790]</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>Here's the content of /testbed/django/db/models/base.py with line numbers (which has a total of 1904 lines) with view_range=[1690, 1790]:
  1690	        fields = (f for f in fields if isinstance(f, str) and f != '?')
  1691	
  1692	        # Convert "-field" to "field".
  1693	        fields = ((f[1:] if f.startswith('-') else f) for f in fields)
  1694	
  1695	        # Separate related fields and non-related fields.
  1696	        _fields = []
  1697	        related_fields = []
  1698	        for f in fields:
  1699	            if LOOKUP_SEP in f:
  1700	                related_fields.append(f)
  1701	            else:
  1702	                _fields.append(f)
  1703	        fields = _fields
  1704	
  1705	        # Check related fields.
  1706	        for field in related_fields:
  1707	            _cls = cls
  1708	            fld = None
  1709	            for part in field.split(LOOKUP_SEP):
  1710	                try:
  1711	                    fld = _cls._meta.get_field(part)
  1712	                    if fld.is_relation:
  1713	                        _cls = fld.get_path_info()[-1].to_opts.model
  1714	                except (FieldDoesNotExist, AttributeError):
  1715	                    if fld is None or fld.get_transform(part) is None:
  1716	                        errors.append(
  1717	                            checks.Error(
  1718	                                "'ordering' refers to the nonexistent field, "
  1719	                                "related field, or lookup '%s'." % field,
  1720	                                obj=cls,
  1721	                                id='models.E015',
  1722	                            )
  1723	                        )
  1724	
  1725	        # Skip ordering on pk. This is always a valid order_by field
  1726	        # but is an alias and therefore won't be found by opts.get_field.
  1727	        fields = {f for f in fields if f != 'pk'}
  1728	
  1729	        # Check for invalid or nonexistent fields in ordering.
  1730	        invalid_fields = []
  1731	
  1732	        # Any field name that is not present in field_names does not exist.
  1733	        # Also, ordering by m2m fields is not allowed.
  1734	        opts = cls._meta
  1735	        valid_fields = set(chain.from_iterable(
  1736	            (f.name, f.attname) if not (f.auto_created and not f.concrete) else (f.field.related_query_name(),)
  1737	            for f in chain(opts.fields, opts.related_objects)
  1738	        ))
  1739	
  1740	        invalid_fields.extend(fields - valid_fields)
  1741	
  1742	        for invalid_field in invalid_fields:
  1743	            errors.append(
  1744	                checks.Error(
  1745	                    "'ordering' refers to the nonexistent field, related "
  1746	                    "field, or lookup '%s'." % invalid_field,
  1747	                    obj=cls,
  1748	                    id='models.E015',
  1749	                )
  1750	            )
  1751	        return errors
  1752	
  1753	    @classmethod
  1754	    def _check_long_column_names(cls):
  1755	        """
  1756	        Check that any auto-generated column names are shorter than the limits
  1757	        for each database in which the model will be created.
  1758	        """
  1759	        errors = []
  1760	        allowed_len = None
  1761	        db_alias = None
  1762	
  1763	        # Find the minimum max allowed length among all specified db_aliases.
  1764	        for db in settings.DATABASES:
  1765	            # skip databases where the model won't be created
  1766	            if not router.allow_migrate_model(db, cls):
  1767	                continue
  1768	            connection = connections[db]
  1769	            max_name_length = connection.ops.max_name_length()
  1770	            if max_name_length is None or connection.features.truncates_names:
  1771	                continue
  1772	            else:
  1773	                if allowed_len is None:
  1774	                    allowed_len = max_name_length
  1775	                    db_alias = db
  1776	                elif max_name_length < allowed_len:
  1777	                    allowed_len = max_name_length
  1778	                    db_alias = db
  1779	
  1780	        if allowed_len is None:
  1781	            return errors
  1782	
  1783	        for f in cls._meta.local_fields:
  1784	            _, column_name = f.get_attname_column()
  1785	
  1786	            # Check if auto-generated name for the field is too long
  1787	            # for the database.
  1788	            if f.db_column is None and column_name is not None and len(column_name) > allowed_len:
  1789	                errors.append(
  1790	                    checks.Error(
</function_results>

Now let's look at the commit that introduced the regression:

<antml:function_calls>
<antml:invoke name="bash">
<antml:parameter name="command">cd /testbed && git log --oneline | grep -E "440505cb2c|ordering" | head -10</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>f97bbad908 Fixed #13296 -- Fixed ordering by Options.order_with_respect_to after deleting objects.
0ddb4ebf7b Refs #14357 -- Made Meta.ordering not affect GROUP BY queries.
8289fc55ff Refs #30449 -- Made RelatedOnlyFieldListFilter respect ModelAdmin.ordering.
00035672a4 Fixed #30449 -- Fixed RelatedFieldListFilter/RelatedOnlyFieldListFilter to respect model's Meta.ordering.
fa65b90a96 Updated WSGI servers ordering according to the more commonly used.
e47b8293a7 Fixed #30636 -- Fixed options ordering when cloning test database on MySQL.
7a42cfcfdc Refs #30557 -- Fixed crash of ordering by ptr fields when Meta.ordering contains F() expressions.
8c5f9906c5 Fixed #30557 -- Fixed crash of ordering by ptr fields when Meta.ordering contains expressions.
f6075fb333 Fixed #26192 -- Fixed crash of ordering by constants on PostgreSQL.
cc80979f01 Refs #26192 -- Added tests for ordering by constant value.</function_results>

Let's look for the specific commit:

<antml:function_calls>
<antml:invoke name="bash">
<antml:parameter name="command">cd /testbed && git show 440505cb2cadbe1a5b9fba246bcde6c04f51d07e --stat</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>commit 440505cb2cadbe1a5b9fba246bcde6c04f51d07e
Author: Hasan Ramezani <hasan.r67@gmail.com>
Date:   Fri Mar 1 17:09:33 2019 +0100

    Fixed #29408 -- Added validation of related fields and lookups in model Meta.ordering.

 django/db/models/base.py                  | 32 ++++++++++--
 docs/ref/checks.txt                       |  4 +-
