I'll help you implement the necessary changes to make enumeration types usable in Django templates. Let's start by exploring the repository structure and understanding the problem better.

<antml:function_calls>
<antml:invoke name="bash">
<antml:parameter name="command">find /testbed -type f -name "*.py" | grep -E "(enum|choice)" | head -20</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>/testbed/tests/forms_tests/field_tests/test_multiplechoicefield.py
/testbed/tests/forms_tests/field_tests/test_typedchoicefield.py
/testbed/tests/forms_tests/field_tests/test_typedmultiplechoicefield.py
/testbed/tests/forms_tests/field_tests/test_choicefield.py
/testbed/tests/model_enums/__init__.py
/testbed/tests/model_enums/tests.py
/testbed/tests/model_forms/test_modelchoicefield.py
/testbed/tests/template_tests/filter_tests/test_linenumbers.py
/testbed/django/contrib/admin/migrations/0003_logentry_add_action_flag_choices.py
/testbed/django/db/models/enums.py</function_results>

<antml:function_calls>
<antml:invoke name="str_replace_based_edit_tool">
<antml:parameter name="command">view</antml:parameter>
<antml:parameter name="path">/testbed/django/db/models/enums.py</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>Here's the content of /testbed/django/db/models/enums.py with line numbers:
     1	import enum
     2	
     3	from django.utils.functional import Promise
     4	
     5	__all__ = ['Choices', 'IntegerChoices', 'TextChoices']
     6	
     7	
     8	class ChoicesMeta(enum.EnumMeta):
     9	    """A metaclass for creating a enum choices."""
    10	
    11	    def __new__(metacls, classname, bases, classdict):
    12	        labels = []
    13	        for key in classdict._member_names:
    14	            value = classdict[key]
    15	            if (
    16	                isinstance(value, (list, tuple)) and
    17	                len(value) > 1 and
    18	                isinstance(value[-1], (Promise, str))
    19	            ):
    20	                *value, label = value
    21	                value = tuple(value)
    22	            else:
    23	                label = key.replace('_', ' ').title()
    24	            labels.append(label)
    25	            # Use dict.__setitem__() to suppress defenses against double
    26	            # assignment in enum's classdict.
    27	            dict.__setitem__(classdict, key, value)
    28	        cls = super().__new__(metacls, classname, bases, classdict)
    29	        cls._value2label_map_ = dict(zip(cls._value2member_map_, labels))
    30	        # Add a label property to instances of enum which uses the enum member
    31	        # that is passed in as "self" as the value to use when looking up the
    32	        # label in the choices.
    33	        cls.label = property(lambda self: cls._value2label_map_.get(self.value))
    34	        return enum.unique(cls)
    35	
    36	    def __contains__(cls, member):
    37	        if not isinstance(member, enum.Enum):
    38	            # Allow non-enums to match against member values.
    39	            return any(x.value == member for x in cls)
    40	        return super().__contains__(member)
    41	
    42	    @property
    43	    def names(cls):
    44	        empty = ['__empty__'] if hasattr(cls, '__empty__') else []
    45	        return empty + [member.name for member in cls]
    46	
    47	    @property
    48	    def choices(cls):
    49	        empty = [(None, cls.__empty__)] if hasattr(cls, '__empty__') else []
    50	        return empty + [(member.value, member.label) for member in cls]
    51	
    52	    @property
    53	    def labels(cls):
    54	        return [label for _, label in cls.choices]
    55	
    56	    @property
    57	    def values(cls):
    58	        return [value for value, _ in cls.choices]
    59	
    60	
    61	class Choices(enum.Enum, metaclass=ChoicesMeta):
    62	    """Class for creating enumerated choices."""
    63	
    64	    def __str__(self):
    65	        """
    66	        Use value when cast to str, so that Choices set as model instance
    67	        attributes are rendered as expected in templates and similar contexts.
    68	        """
    69	        return str(self.value)
    70	
    71	
    72	class IntegerChoices(int, Choices):
    73	    """Class for creating enumerated integer choices."""
    74	    pass
    75	
    76	
    77	class TextChoices(str, Choices):
    78	    """Class for creating enumerated string choices."""
    79	
    80	    def _generate_next_value_(name, start, count, last_values):
    81	        return name
    82	</function_results>

Now let's look at the test files to understand how these enums are used:

<antml:function_calls>
<antml:invoke name="str_replace_based_edit_tool">
<antml:parameter name="command">view</antml:parameter>
<antml:parameter name="path">/testbed/tests/model_enums/tests.py</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>Here's the content of /testbed/tests/model_enums/tests.py with line numbers:
     1	import datetime
     2	import decimal
     3	import ipaddress
     4	import uuid
     5	
     6	from django.db import models
     7	from django.test import SimpleTestCase
     8	from django.utils.functional import Promise
     9	from django.utils.translation import gettext_lazy as _
    10	
    11	
    12	class Suit(models.IntegerChoices):
    13	    DIAMOND = 1, _('Diamond')
    14	    SPADE = 2, _('Spade')
    15	    HEART = 3, _('Heart')
    16	    CLUB = 4, _('Club')
    17	
    18	
    19	class YearInSchool(models.TextChoices):
    20	    FRESHMAN = 'FR', _('Freshman')
    21	    SOPHOMORE = 'SO', _('Sophomore')
    22	    JUNIOR = 'JR', _('Junior')
    23	    SENIOR = 'SR', _('Senior')
    24	    GRADUATE = 'GR', _('Graduate')
    25	
    26	
    27	class Vehicle(models.IntegerChoices):
    28	    CAR = 1, 'Carriage'
    29	    TRUCK = 2
    30	    JET_SKI = 3
    31	
    32	    __empty__ = _('(Unknown)')
    33	
    34	
    35	class Gender(models.TextChoices):
    36	    MALE = 'M'
    37	    FEMALE = 'F'
    38	    NOT_SPECIFIED = 'X'
    39	
    40	    __empty__ = '(Undeclared)'
    41	
    42	
    43	class ChoicesTests(SimpleTestCase):
    44	    def test_integerchoices(self):
    45	        self.assertEqual(Suit.choices, [(1, 'Diamond'), (2, 'Spade'), (3, 'Heart'), (4, 'Club')])
    46	        self.assertEqual(Suit.labels, ['Diamond', 'Spade', 'Heart', 'Club'])
    47	        self.assertEqual(Suit.values, [1, 2, 3, 4])
    48	        self.assertEqual(Suit.names, ['DIAMOND', 'SPADE', 'HEART', 'CLUB'])
    49	
    50	        self.assertEqual(repr(Suit.DIAMOND), '<Suit.DIAMOND: 1>')
    51	        self.assertEqual(Suit.DIAMOND.label, 'Diamond')
    52	        self.assertEqual(Suit.DIAMOND.value, 1)
    53	        self.assertEqual(Suit['DIAMOND'], Suit.DIAMOND)
    54	        self.assertEqual(Suit(1), Suit.DIAMOND)
    55	
    56	        self.assertIsInstance(Suit, type(models.Choices))
    57	        self.assertIsInstance(Suit.DIAMOND, Suit)
    58	        self.assertIsInstance(Suit.DIAMOND.label, Promise)
    59	        self.assertIsInstance(Suit.DIAMOND.value, int)
    60	
    61	    def test_integerchoices_auto_label(self):
    62	        self.assertEqual(Vehicle.CAR.label, 'Carriage')
    63	        self.assertEqual(Vehicle.TRUCK.label, 'Truck')
    64	        self.assertEqual(Vehicle.JET_SKI.label, 'Jet Ski')
    65	
    66	    def test_integerchoices_empty_label(self):
    67	        self.assertEqual(Vehicle.choices[0], (None, '(Unknown)'))
    68	        self.assertEqual(Vehicle.labels[0], '(Unknown)')
    69	        self.assertIsNone(Vehicle.values[0])
    70	        self.assertEqual(Vehicle.names[0], '__empty__')
    71	
    72	    def test_integerchoices_functional_api(self):
    73	        Place = models.IntegerChoices('Place', 'FIRST SECOND THIRD')
    74	        self.assertEqual(Place.labels, ['First', 'Second', 'Third'])
    75	        self.assertEqual(Place.values, [1, 2, 3])
    76	        self.assertEqual(Place.names, ['FIRST', 'SECOND', 'THIRD'])
    77	
    78	    def test_integerchoices_containment(self):
    79	        self.assertIn(Suit.DIAMOND, Suit)
    80	        self.assertIn(1, Suit)
    81	        self.assertNotIn(0, Suit)
    82	
    83	    def test_textchoices(self):
    84	        self.assertEqual(YearInSchool.choices, [
    85	            ('FR', 'Freshman'), ('SO', 'Sophomore'), ('JR', 'Junior'), ('SR', 'Senior'), ('GR', 'Graduate'),
    86	        ])
    87	        self.assertEqual(YearInSchool.labels, ['Freshman', 'Sophomore', 'Junior', 'Senior', 'Graduate'])
    88	        self.assertEqual(YearInSchool.values, ['FR', 'SO', 'JR', 'SR', 'GR'])
    89	        self.assertEqual(YearInSchool.names, ['FRESHMAN', 'SOPHOMORE', 'JUNIOR', 'SENIOR', 'GRADUATE'])
    90	
    91	        self.assertEqual(repr(YearInSchool.FRESHMAN), "<YearInSchool.FRESHMAN: 'FR'>")
    92	        self.assertEqual(YearInSchool.FRESHMAN.label, 'Freshman')
    93	        self.assertEqual(YearInSchool.FRESHMAN.value, 'FR')
    94	        self.assertEqual(YearInSchool['FRESHMAN'], YearInSchool.FRESHMAN)
    95	        self.assertEqual(YearInSchool('FR'), YearInSchool.FRESHMAN)
    96	
    97	        self.assertIsInstance(YearInSchool, type(models.Choices))
    98	        self.assertIsInstance(YearInSchool.FRESHMAN, YearInSchool)
    99	        self.assertIsInstance(YearInSchool.FRESHMAN.label, Promise)
   100	        self.assertIsInstance(YearInSchool.FRESHMAN.value, str)
   101	
   102	    def test_textchoices_auto_label(self):
   103	        self.assertEqual(Gender.MALE.label, 'Male')
   104	        self.assertEqual(Gender.FEMALE.label, 'Female')
   105	        self.assertEqual(Gender.NOT_SPECIFIED.label, 'Not Specified')
   106	
   107	    def test_textchoices_empty_label(self):
   108	        self.assertEqual(Gender.choices[0], (None, '(Undeclared)'))
   109	        self.assertEqual(Gender.labels[0], '(Undeclared)')
   110	        self.assertIsNone(Gender.values[0])
   111	        self.assertEqual(Gender.names[0], '__empty__')
   112	
   113	    def test_textchoices_functional_api(self):
   114	        Medal = models.TextChoices('Medal', 'GOLD SILVER BRONZE')
   115	        self.assertEqual(Medal.labels, ['Gold', 'Silver', 'Bronze'])
   116	        self.assertEqual(Medal.values, ['GOLD', 'SILVER', 'BRONZE'])
   117	        self.assertEqual(Medal.names, ['GOLD', 'SILVER', 'BRONZE'])
   118	
   119	    def test_textchoices_containment(self):
   120	        self.assertIn(YearInSchool.FRESHMAN, YearInSchool)
   121	        self.assertIn('FR', YearInSchool)
   122	        self.assertNotIn('XX', YearInSchool)
   123	
   124	    def test_textchoices_blank_value(self):
   125	        class BlankStr(models.TextChoices):
   126	            EMPTY = '', '(Empty)'
   127	            ONE = 'ONE', 'One'
   128	
   129	        self.assertEqual(BlankStr.labels, ['(Empty)', 'One'])
   130	        self.assertEqual(BlankStr.values, ['', 'ONE'])
   131	        self.assertEqual(BlankStr.names, ['EMPTY', 'ONE'])
   132	
   133	    def test_invalid_definition(self):
   134	        msg = "'str' object cannot be interpreted as an integer"
   135	        with self.assertRaisesMessage(TypeError, msg):
   136	            class InvalidArgumentEnum(models.IntegerChoices):
   137	                # A string is not permitted as the second argument to int().
   138	                ONE = 1, 'X', 'Invalid'
   139	
   140	        msg = "duplicate values found in <enum 'Fruit'>: PINEAPPLE -> APPLE"
   141	        with self.assertRaisesMessage(ValueError, msg):
   142	            class Fruit(models.IntegerChoices):
   143	                APPLE = 1, 'Apple'
   144	                PINEAPPLE = 1, 'Pineapple'
   145	
   146	    def test_str(self):
   147	        for test in [Gender, Suit, YearInSchool, Vehicle]:
   148	            for member in test:
   149	                with self.subTest(member=member):
   150	                    self.assertEqual(str(test[member.name]), str(member.value))
   151	
   152	
   153	class Separator(bytes, models.Choices):
   154	    FS = b'\x1c', 'File Separator'
   155	    GS = b'\x1d', 'Group Separator'
   156	    RS = b'\x1e', 'Record Separator'
   157	    US = b'\x1f', 'Unit Separator'
   158	
   159	
   160	class Constants(float, models.Choices):
   161	    PI = 3.141592653589793, 'π'
   162	    TAU = 6.283185307179586, 'τ'
   163	
   164	
   165	class Set(frozenset, models.Choices):
   166	    A = {1, 2}
   167	    B = {2, 3}
   168	    UNION = A | B
   169	    DIFFERENCE = A - B
   170	    INTERSECTION = A & B
   171	
   172	
   173	class MoonLandings(datetime.date, models.Choices):
   174	    APOLLO_11 = 1969, 7, 20, 'Apollo 11 (Eagle)'
   175	    APOLLO_12 = 1969, 11, 19, 'Apollo 12 (Intrepid)'
   176	    APOLLO_14 = 1971, 2, 5, 'Apollo 14 (Antares)'
