I'll help you implement the necessary changes to fix the performance regression in Django's `Model.objects.all().delete()` method. Let's start by exploring the repository structure and understanding the problem better.

<antml:function_calls>
<antml:invoke name="bash">
<antml:parameter name="command">find /testbed -type f -name "*.py" | grep -E "(delete|deletion)" | head -20</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>/testbed/tests/save_delete_hooks/__init__.py
/testbed/tests/save_delete_hooks/models.py
/testbed/tests/save_delete_hooks/tests.py
/testbed/tests/delete/__init__.py
/testbed/tests/delete/models.py
/testbed/tests/delete/tests.py
/testbed/tests/delete_regress/__init__.py
/testbed/tests/delete_regress/models.py
/testbed/tests/delete_regress/tests.py
/testbed/django/db/models/deletion.py</function_results>

<antml:function_calls>
<antml:invoke name="str_replace_based_edit_tool">
<antml:parameter name="command">view</antml:parameter>
<antml:parameter name="path">/testbed/django/db/models</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>Here're the files and directories up to 2 levels deep in /testbed/django/db/models, excluding hidden items and node_modules:
855K	/testbed/django/db/models
2.5K	/testbed/django/db/models/__init__.py
6.0K	/testbed/django/db/models/aggregates.py
81K	/testbed/django/db/models/base.py
512	/testbed/django/db/models/constants.py
6.0K	/testbed/django/db/models/constraints.py
20K	/testbed/django/db/models/deletion.py
3.0K	/testbed/django/db/models/enums.py
48K	/testbed/django/db/models/expressions.py
270K	/testbed/django/db/models/fields
87K	/testbed/django/db/models/fields/__init__.py
18K	/testbed/django/db/models/fields/files.py
19K	/testbed/django/db/models/fields/json.py
2.0K	/testbed/django/db/models/fields/mixins.py
1.0K	/testbed/django/db/models/fields/proxy.py
69K	/testbed/django/db/models/fields/related.py
53K	/testbed/django/db/models/fields/related_descriptors.py
7.0K	/testbed/django/db/models/fields/related_lookups.py
11K	/testbed/django/db/models/fields/reverse_related.py
45K	/testbed/django/db/models/functions
2.0K	/testbed/django/db/models/functions/__init__.py
5.5K	/testbed/django/db/models/functions/comparison.py
12K	/testbed/django/db/models/functions/datetime.py
5.0K	/testbed/django/db/models/functions/math.py
2.5K	/testbed/django/db/models/functions/mixins.py
11K	/testbed/django/db/models/functions/text.py
3.0K	/testbed/django/db/models/functions/window.py
5.5K	/testbed/django/db/models/indexes.py
23K	/testbed/django/db/models/lookups.py
7.0K	/testbed/django/db/models/manager.py
35K	/testbed/django/db/models/options.py
81K	/testbed/django/db/models/query.py
13K	/testbed/django/db/models/query_utils.py
2.0K	/testbed/django/db/models/signals.py
204K	/testbed/django/db/models/sql
512	/testbed/django/db/models/sql/__init__.py
72K	/testbed/django/db/models/sql/compiler.py
1.0K	/testbed/django/db/models/sql/constants.py
6.5K	/testbed/django/db/models/sql/datastructures.py
106K	/testbed/django/db/models/sql/query.py
6.0K	/testbed/django/db/models/sql/subqueries.py
8.5K	/testbed/django/db/models/sql/where.py
1.5K	/testbed/django/db/models/utils.py
</function_results>

Let's look at the query.py file since it likely contains the `delete()` method:

<antml:function_calls>
<antml:invoke name="str_replace_based_edit_tool">
<antml:parameter name="command">view</antml:parameter>
<antml:parameter name="path">/testbed/django/db/models/query.py</antml:parameter>
<antml:parameter name="view_range">[700, 800]</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>Here's the content of /testbed/django/db/models/query.py with line numbers (which has a total of 1980 lines) with view_range=[700, 800]:
   700	            field_name != 'pk' and
   701	            not opts.get_field(field_name).unique and
   702	            field_name not in unique_fields
   703	        ):
   704	            raise ValueError("in_bulk()'s field_name must be a unique field but %r isn't." % field_name)
   705	        if id_list is not None:
   706	            if not id_list:
   707	                return {}
   708	            filter_key = '{}__in'.format(field_name)
   709	            batch_size = connections[self.db].features.max_query_params
   710	            id_list = tuple(id_list)
   711	            # If the database has a limit on the number of query parameters
   712	            # (e.g. SQLite), retrieve objects in batches if necessary.
   713	            if batch_size and batch_size < len(id_list):
   714	                qs = ()
   715	                for offset in range(0, len(id_list), batch_size):
   716	                    batch = id_list[offset:offset + batch_size]
