I'll help you implement the necessary changes to reduce Add/RemoveIndex migration operations when optimizing migrations. Let's start by exploring the repository structure to understand how Django handles migration operations.

<antml:function_calls>
<antml:invoke name="bash">
<antml:parameter name="command">find /testbed -type f -name "*.py" | grep -E "(migration|index)" | head -20</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>/testbed/tests/custom_migration_operations/__init__.py
/testbed/tests/custom_migration_operations/more_operations.py
/testbed/tests/custom_migration_operations/operations.py
/testbed/tests/migrations/test_migrations_plan/0003_third.py
/testbed/tests/migrations/test_migrations_plan/0001_initial.py
/testbed/tests/migrations/test_migrations_plan/__init__.py
/testbed/tests/migrations/test_migrations_plan/0002_second.py
/testbed/tests/migrations/test_migrations_plan/0004_fourth.py
/testbed/tests/migrations/test_migrations_plan/0005_fifth.py
/testbed/tests/migrations/test_migrations_empty/__init__.py
/testbed/tests/migrations/test_migrations_clashing_prefix/__init__.py
/testbed/tests/migrations/test_migrations_clashing_prefix/ab.py
/testbed/tests/migrations/test_migrations_clashing_prefix/a.py
/testbed/tests/migrations/test_multidb.py
/testbed/tests/migrations/test_migrations_squashed_extra/0003_third.py
/testbed/tests/migrations/test_migrations_squashed_extra/0001_initial.py
/testbed/tests/migrations/test_migrations_squashed_extra/__init__.py
/testbed/tests/migrations/test_migrations_squashed_extra/0001_squashed_0002.py
/testbed/tests/migrations/test_migrations_squashed_extra/0002_second.py
/testbed/tests/migrations/test_executor.py</function_results>

<antml:function_calls>
<antml:invoke name="bash">
<antml:parameter name="command">find /testbed -path "*/migrations/*" -name "*.py" | grep -E "(operation|optimizer)" | head -10</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>/testbed/tests/migrations/test_operations.py
/testbed/tests/migrations/test_migrations_atomic_operation/0001_initial.py
/testbed/tests/migrations/test_migrations_atomic_operation/__init__.py
/testbed/tests/migrations/test_optimizer.py
/testbed/tests/migrations/test_migrations_no_operations/0001_initial.py
/testbed/tests/migrations/test_migrations_no_operations/__init__.py
/testbed/django/db/migrations/optimizer.py
/testbed/django/db/migrations/operations/fields.py
/testbed/django/db/migrations/operations/__init__.py
/testbed/django/db/migrations/operations/base.py</function_results>

Let's look at the Django migrations structure:

<antml:function_calls>
<antml:invoke name="str_replace_based_edit_tool">
<antml:parameter name="command">view</antml:parameter>
<antml:parameter name="path">/testbed/django/db/migrations</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>Here're the files and directories up to 2 levels deep in /testbed/django/db/migrations, excluding hidden items and node_modules:
302K	/testbed/django/db/migrations
512	/testbed/django/db/migrations/__init__.py
78K	/testbed/django/db/migrations/autodetector.py
1.5K	/testbed/django/db/migrations/exceptions.py
19K	/testbed/django/db/migrations/executor.py
13K	/testbed/django/db/migrations/graph.py
17K	/testbed/django/db/migrations/loader.py
10K	/testbed/django/db/migrations/migration.py
70K	/testbed/django/db/migrations/operations
1.0K	/testbed/django/db/migrations/operations/__init__.py
5.0K	/testbed/django/db/migrations/operations/base.py
13K	/testbed/django/db/migrations/operations/fields.py
40K	/testbed/django/db/migrations/operations/models.py
8.0K	/testbed/django/db/migrations/operations/special.py
3.5K	/testbed/django/db/migrations/optimizer.py
14K	/testbed/django/db/migrations/questioner.py
3.5K	/testbed/django/db/migrations/recorder.py
14K	/testbed/django/db/migrations/serializer.py
40K	/testbed/django/db/migrations/state.py
4.5K	/testbed/django/db/migrations/utils.py
12K	/testbed/django/db/migrations/writer.py
</function_results>

Let's first look at the optimizer to understand how migration operations are currently optimized:

<antml:function_calls>
<antml:invoke name="str_replace_based_edit_tool">
<antml:parameter name="command">view</antml:parameter>
<antml:parameter name="path">/testbed/django/db/migrations/optimizer.py</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>Here's the content of /testbed/django/db/migrations/optimizer.py with line numbers:
     1	class MigrationOptimizer:
     2	    """
     3	    Power the optimization process, where you provide a list of Operations
     4	    and you are returned a list of equal or shorter length - operations
     5	    are merged into one if possible.
     6	
     7	    For example, a CreateModel and an AddField can be optimized into a
     8	    new CreateModel, and CreateModel and DeleteModel can be optimized into
     9	    nothing.
    10	    """
    11	
    12	    def optimize(self, operations, app_label):
    13	        """
    14	        Main optimization entry point. Pass in a list of Operation instances,
    15	        get out a new list of Operation instances.
    16	
    17	        Unfortunately, due to the scope of the optimization (two combinable
    18	        operations might be separated by several hundred others), this can't be
    19	        done as a peephole optimization with checks/output implemented on
    20	        the Operations themselves; instead, the optimizer looks at each
    21	        individual operation and scans forwards in the list to see if there
    22	        are any matches, stopping at boundaries - operations which can't
    23	        be optimized over (RunSQL, operations on the same field/model, etc.)
    24	
    25	        The inner loop is run until the starting list is the same as the result
    26	        list, and then the result is returned. This means that operation
    27	        optimization must be stable and always return an equal or shorter list.
    28	        """
    29	        # Internal tracking variable for test assertions about # of loops
    30	        if app_label is None:
    31	            raise TypeError("app_label must be a str.")
    32	        self._iterations = 0
    33	        while True:
    34	            result = self.optimize_inner(operations, app_label)
    35	            self._iterations += 1
    36	            if result == operations:
    37	                return result
    38	            operations = result
    39	
