I'll start by exploring the repository structure to understand how it's organized and then locate the relevant code for the `xr.where` function.

<antml:function_calls>
<antml:invoke name="bash">
<antml:parameter name="command">find /testbed -type f -name "*.py" | grep -E "(where|core)" | head -20</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>/testbed/xarray/core/arithmetic.py
/testbed/xarray/core/accessor_dt.py
/testbed/xarray/core/concat.py
/testbed/xarray/core/parallel.py
/testbed/xarray/core/_reductions.py
/testbed/xarray/core/utils.py
/testbed/xarray/core/duck_array_ops.py
/testbed/xarray/core/coordinates.py
/testbed/xarray/core/ops.py
/testbed/xarray/core/common.py
/testbed/xarray/core/variable.py
/testbed/xarray/core/accessor_str.py
/testbed/xarray/core/nputils.py
/testbed/xarray/core/nanops.py
/testbed/xarray/core/pycompat.py
/testbed/xarray/core/dataarray.py
/testbed/xarray/core/rolling_exp.py
/testbed/xarray/core/missing.py
/testbed/xarray/core/merge.py
/testbed/xarray/core/computation.py</function_results>

<antml:function_calls>
<antml:invoke name="str_replace_based_edit_tool">
<antml:parameter name="command">view</antml:parameter>
<antml:parameter name="path">/testbed</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>Here're the files and directories up to 2 levels deep in /testbed, excluding hidden items and node_modules:
52M	/testbed
3.0K	/testbed/CITATION.cff
3.5K	/testbed/CODE_OF_CONDUCT.md
512	/testbed/CONTRIBUTING.md
4.0K	/testbed/HOW_TO_RELEASE.md
11K	/testbed/LICENSE
6.5K	/testbed/README.rst
65K	/testbed/asv_bench
6.5K	/testbed/asv_bench/asv.conf.json
54K	/testbed/asv_bench/benchmarks
22K	/testbed/ci
1.5K	/testbed/ci/install-upstream-wheels.sh
6.5K	/testbed/ci/min_deps_check.py
10K	/testbed/ci/requirements
1.5K	/testbed/conftest.py
32K	/testbed/design_notes
28K	/testbed/design_notes/flexible_indexes_notes.md
2.7M	/testbed/doc
8.5K	/testbed/doc/Makefile
512	/testbed/doc/README.rst
1.5M	/testbed/doc/_static
10K	/testbed/doc/_templates
18K	/testbed/doc/api-hidden.rst
22K	/testbed/doc/api.rst
13K	/testbed/doc/conf.py
33K	/testbed/doc/contributing.rst
1.5K	/testbed/doc/developers-meeting.rst
9.0K	/testbed/doc/ecosystem.rst
522K	/testbed/doc/examples
12K	/testbed/doc/gallery
4.0K	/testbed/doc/gallery.rst
36K	/testbed/doc/getting-started-guide
4.5K	/testbed/doc/howdoi.rst
4.0K	/testbed/doc/index.rst
32K	/testbed/doc/internals
12K	/testbed/doc/roadmap.rst
4.0K	/testbed/doc/team.rst
3.5K	/testbed/doc/tutorials-and-videos.rst
243K	/testbed/doc/user-guide
274K	/testbed/doc/whats-new.rst
42K	/testbed/licenses
1.5K	/testbed/licenses/DASK_LICENSE
19K	/testbed/licenses/ICOMOON_LICENSE
2.0K	/testbed/licenses/NUMPY_LICENSE
2.0K	/testbed/licenses/PANDAS_LICENSE
13K	/testbed/licenses/PYTHON_LICENSE
1.5K	/testbed/licenses/SEABORN_LICENSE
11K	/testbed/properties
1.0K	/testbed/properties/README.md
512	/testbed/properties/conftest.py
1.5K	/testbed/properties/test_encode_decode.py
3.5K	/testbed/properties/test_pandas_roundtrip.py
512	/testbed/pyproject.toml
512	/testbed/requirements.txt
