I'll help you implement the necessary changes to fix the `__repr__` string for `RepeatedKFold` and `RepeatedStratifiedKFold`. Let's start by exploring the repository structure and understanding the problem.

<antml:function_calls>
<antml:invoke name="bash">
<antml:parameter name="command">find /testbed -type f -name "*.py" | grep -E "(split|fold)" | head -20</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>/testbed/examples/manifold/plot_t_sne_perplexity.py
/testbed/examples/manifold/plot_mds.py
/testbed/examples/manifold/plot_manifold_sphere.py
/testbed/examples/manifold/plot_compare_methods.py
/testbed/examples/manifold/plot_lle_digits.py
/testbed/examples/manifold/plot_swissroll.py
/testbed/sklearn/manifold/locally_linear.py
/testbed/sklearn/manifold/setup.py
/testbed/sklearn/manifold/tests/test_locally_linear.py
/testbed/sklearn/manifold/tests/test_isomap.py
/testbed/sklearn/manifold/tests/test_mds.py
/testbed/sklearn/manifold/tests/__init__.py
/testbed/sklearn/manifold/tests/test_t_sne.py
/testbed/sklearn/manifold/tests/test_spectral_embedding.py
/testbed/sklearn/manifold/spectral_embedding_.py
/testbed/sklearn/manifold/t_sne.py
/testbed/sklearn/manifold/isomap.py
/testbed/sklearn/manifold/__init__.py
/testbed/sklearn/manifold/mds.py
/testbed/sklearn/ensemble/_hist_gradient_boosting/tests/test_splitting.py</function_results>

<antml:function_calls>
<antml:invoke name="bash">
<antml:parameter name="command">find /testbed -type f -name "*split*.py" | head -10</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>/testbed/sklearn/ensemble/_hist_gradient_boosting/tests/test_splitting.py
/testbed/sklearn/model_selection/_split.py
/testbed/sklearn/model_selection/tests/test_split.py</function_results>

Great! Let's look at the model selection split module:

<antml:function_calls>
<antml:invoke name="str_replace_based_edit_tool">
<antml:parameter name="command">view</antml:parameter>
<antml:parameter name="path">/testbed/sklearn/model_selection</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>Here're the files and directories up to 2 levels deep in /testbed/sklearn/model_selection, excluding hidden items and node_modules:
407K	/testbed/sklearn/model_selection
2.0K	/testbed/sklearn/model_selection/__init__.py
62K	/testbed/sklearn/model_selection/_search.py
77K	/testbed/sklearn/model_selection/_split.py
60K	/testbed/sklearn/model_selection/_validation.py
203K	/testbed/sklearn/model_selection/tests
0	/testbed/sklearn/model_selection/tests/__init__.py
1.0K	/testbed/sklearn/model_selection/tests/common.py
68K	/testbed/sklearn/model_selection/tests/test_search.py
60K	/testbed/sklearn/model_selection/tests/test_split.py
71K	/testbed/sklearn/model_selection/tests/test_validation.py
</function_results>

Let's examine the `_split.py` file where `RepeatedKFold` and `RepeatedStratifiedKFold` are likely defined:

<antml:function_calls>
<antml:invoke name="str_replace_based_edit_tool">
<antml:parameter name="command">view</antml:parameter>
<antml:parameter name="path">/testbed/sklearn/model_selection/_split.py</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>Here's the content of /testbed/sklearn/model_selection/_split.py with line numbers:
     1	"""
     2	The :mod:`sklearn.model_selection._split` module includes classes and
     3	functions to split the data based on a preset strategy.
     4	"""
     5	
     6	# Author: Alexandre Gramfort <alexandre.gramfort@inria.fr>,
     7	#         Gael Varoquaux <gael.varoquaux@normalesup.org>,
     8	#         Olivier Grisel <olivier.grisel@ensta.org>
     9	#         Raghav RV <rvraghav93@gmail.com>
    10	# License: BSD 3 clause
    11	
    12	from collections.abc import Iterable
    13	import warnings
    14	from itertools import chain, combinations
    15	from math import ceil, floor
    16	import numbers
    17	from abc import ABCMeta, abstractmethod
    18	from inspect import signature
    19	
    20	import numpy as np
    21	
    22	from ..utils import indexable, check_random_state, safe_indexing
    23	from ..utils import _approximate_mode
    24	from ..utils.validation import _num_samples, column_or_1d
    25	from ..utils.validation import check_array
    26	from ..utils.multiclass import type_of_target
    27	from ..utils.fixes import comb
    28	from ..base import _pprint
    29	
    30	__all__ = ['BaseCrossValidator',
    31	           'KFold',
    32	           'GroupKFold',
    33	           'LeaveOneGroupOut',
    34	           'LeaveOneOut',
    35	           'LeavePGroupsOut',
    36	           'LeavePOut',
    37	           'RepeatedStratifiedKFold',
    38	           'RepeatedKFold',
    39	           'ShuffleSplit',
    40	           'GroupShuffleSplit',
    41	           'StratifiedKFold',
    42	           'StratifiedShuffleSplit',
    43	           'PredefinedSplit',
    44	           'train_test_split',
    45	           'check_cv']
    46	
    47	
    48	class BaseCrossValidator(metaclass=ABCMeta):
    49	    """Base class for all cross-validators
    50	
    51	    Implementations must define `_iter_test_masks` or `_iter_test_indices`.
    52	    """
    53	
    54	    def split(self, X, y=None, groups=None):
    55	        """Generate indices to split data into training and test set.
    56	
    57	        Parameters
    58	        ----------
    59	        X : array-like, shape (n_samples, n_features)
    60	            Training data, where n_samples is the number of samples
    61	            and n_features is the number of features.
    62	
    63	        y : array-like, of length n_samples
    64	            The target variable for supervised learning problems.
    65	
    66	        groups : array-like, with shape (n_samples,), optional
    67	            Group labels for the samples used while splitting the dataset into
    68	            train/test set.
    69	
    70	        Yields
    71	        ------
    72	        train : ndarray
    73	            The training set indices for that split.
    74	
    75	        test : ndarray
    76	            The testing set indices for that split.
    77	        """
    78	        X, y, groups = indexable(X, y, groups)
    79	        indices = np.arange(_num_samples(X))
    80	        for test_index in self._iter_test_masks(X, y, groups):
    81	            train_index = indices[np.logical_not(test_index)]
    82	            test_index = indices[test_index]
    83	            yield train_index, test_index
    84	
    85	    # Since subclasses must implement either _iter_test_masks or
    86	    # _iter_test_indices, neither can be abstract.
    87	    def _iter_test_masks(self, X=None, y=None, groups=None):
    88	        """Generates boolean masks corresponding to test sets.
    89	
    90	        By default, delegates to _iter_test_indices(X, y, groups)
    91	        """
    92	        for test_index in self._iter_test_indices(X, y, groups):
    93	            test_mask = np.zeros(_num_samples(X), dtype=np.bool)
    94	            test_mask[test_index] = True
    95	            yield test_mask
    96	
    97	    def _iter_test_indices(self, X=None, y=None, groups=None):
    98	        """Generates integer indices corresponding to test sets."""
    99	        raise NotImplementedError
   100	
   101	    @abstractmethod
   102	    def get_n_splits(self, X=None, y=None, groups=None):
   103	        """Returns the number of splitting iterations in the cross-validator"""
   104	
   105	    def __repr__(self):
   106	        return _build_repr(self)
   107	
   108	
   109	class LeaveOneOut(BaseCrossValidator):
   110	    """Leave-One-Out cross-validator
   111	
   112	    Provides train/test indices to split data in train/test sets. Each
   113	    sample is used once as a test set (singleton) while the remaining
   114	    samples form the training set.
   115	
   116	    Note: ``LeaveOneOut()`` is equivalent to ``KFold(n_splits=n)`` and
   117	    ``LeavePOut(p=1)`` where ``n`` is the number of samples.
   118	
   119	    Due to the high number of test sets (which is the same as the
   120	    number of samples) this cross-validation method can be very costly.
   121	    For large datasets one should favor :class:`KFold`, :class:`ShuffleSplit`
   122	    or :class:`StratifiedKFold`.
   123	
   124	    Read more in the :ref:`User Guide <cross_validation>`.
   125	
   126	    Examples
   127	    --------
   128	    >>> import numpy as np
   129	    >>> from sklearn.model_selection import LeaveOneOut
   130	    >>> X = np.array([[1, 2], [3, 4]])
   131	    >>> y = np.array([1, 2])
   132	    >>> loo = LeaveOneOut()
   133	    >>> loo.get_n_splits(X)
   134	    2
   135	    >>> print(loo)
   136	    LeaveOneOut()
   137	    >>> for train_index, test_index in loo.split(X):
   138	    ...    print("TRAIN:", train_index, "TEST:", test_index)
   139	    ...    X_train, X_test = X[train_index], X[test_index]
   140	    ...    y_train, y_test = y[train_index], y[test_index]
   141	    ...    print(X_train, X_test, y_train, y_test)
   142	    TRAIN: [1] TEST: [0]
   143	    [[3 4]] [[1 2]] [2] [1]
   144	    TRAIN: [0] TEST: [1]
   145	    [[1 2]] [[3 4]] [1] [2]
   146	
   147	    See also
   148	    --------
   149	    LeaveOneGroupOut
   150	        For splitting the data according to explicit, domain-specific
   151	        stratification of the dataset.
   152	
   153	    GroupKFold: K-fold iterator variant with non-overlapping groups.
   154	    """
   155	
   156	    def _iter_test_indices(self, X, y=None, groups=None):
   157	        n_samples = _num_samples(X)
   158	        if n_samples <= 1:
   159	            raise ValueError(
   160	                'Cannot perform LeaveOneOut with n_samples={}.'.format(
   161	                    n_samples)
   162	            )
   163	        return range(n_samples)
   164	
   165	    def get_n_splits(self, X, y=None, groups=None):
   166	        """Returns the number of splitting iterations in the cross-validator
   167	
   168	        Parameters
   169	        ----------
   170	        X : array-like, shape (n_samples, n_features)
   171	            Training data, where n_samples is the number of samples
   172	            and n_features is the number of features.
   173	
   174	        y : object
   175	            Always ignored, exists for compatibility.
   176	
   177	        groups : object
   178	            Always ignored, exists for compatibility.
   179	
   180	        Returns
   181	        -------
   182	        n_splits : int
   183	            Returns the number of splitting iterations in the cross-validator.
   184	        """
   185	        if X is None:
   186	            raise ValueError("The 'X' parameter should not be None.")
   187	        return _num_samples(X)
   188	
   189	
   190	class LeavePOut(BaseCrossValidator):
   191	    """Leave-P-Out cross-validator
   192	
   193	    Provides train/test indices to split data in train/test sets. This results
   194	    in testing on all distinct samples of size p, while the remaining n - p
   195	    samples form the training set in each iteration.
   196	
   197	    Note: ``LeavePOut(p)`` is NOT equivalent to
   198	    ``KFold(n_splits=n_samples // p)`` which creates non-overlapping test sets.
   199	
   200	    Due to the high number of iterations which grows combinatorically with the
   201	    number of samples this cross-validation method can be very costly. For
   202	    large datasets one should favor :class:`KFold`, :class:`StratifiedKFold`
   203	    or :class:`ShuffleSplit`.
   204	
   205	    Read more in the :ref:`User Guide <cross_validation>`.
   206	
   207	    Parameters
   208	    ----------
   209	    p : int
   210	        Size of the test sets. Must be strictly less than the number of
   211	        samples.
   212	
   213	    Examples
   214	    --------
   215	    >>> import numpy as np
   216	    >>> from sklearn.model_selection import LeavePOut
   217	    >>> X = np.array([[1, 2], [3, 4], [5, 6], [7, 8]])
   218	    >>> y = np.array([1, 2, 3, 4])
   219	    >>> lpo = LeavePOut(2)
   220	    >>> lpo.get_n_splits(X)
   221	    6
   222	    >>> print(lpo)
   223	    LeavePOut(p=2)
   224	    >>> for train_index, test_index in lpo.split(X):
   225	    ...    print("TRAIN:", train_index, "TEST:", test_index)
   226	    ...    X_train, X_test = X[train_index], X[test_index]
   227	    ...    y_train, y_test = y[train_index], y[test_index]
   228	    TRAIN: [2 3] TEST: [0 1]
   229	    TRAIN: [1 3] TEST: [0 2]
   230	    TRAIN: [1 2] TEST: [0 3]
   231	    TRAIN: [0 3] TEST: [1 2]
   232	    TRAIN: [0 2] TEST: [1 3]
   233	    TRAIN: [0 1] TEST: [2 3]
   234	    """
   235	
   236	    def __init__(self, p):
   237	        self.p = p
   238	
   239	    def _iter_test_indices(self, X, y=None, groups=None):
   240	        n_samples = _num_samples(X)
	< truncated lines 241-1928 >
  1929	            Always ignored, exists for compatibility.
  1930	
  1931	        y : object
  1932	            Always ignored, exists for compatibility.
  1933	
  1934	        groups : object
  1935	            Always ignored, exists for compatibility.
  1936	
  1937	        Yields
  1938	        ------
  1939	        train : ndarray
  1940	            The training set indices for that split.
  1941	
  1942	        test : ndarray
  1943	            The testing set indices for that split.
  1944	        """
  1945	        for train, test in self.cv:
  1946	            yield train, test
  1947	
  1948	
  1949	def check_cv(cv=5, y=None, classifier=False):
  1950	    """Input checker utility for building a cross-validator
  1951	
  1952	    Parameters
  1953	    ----------
  1954	    cv : int, cross-validation generator or an iterable, optional
  1955	        Determines the cross-validation splitting strategy.
  1956	        Possible inputs for cv are:
  1957	
  1958	        - None, to use the default 5-fold cross-validation,
  1959	        - integer, to specify the number of folds.
  1960	        - :term:`CV splitter`,
  1961	        - An iterable yielding (train, test) splits as arrays of indices.
  1962	
  1963	        For integer/None inputs, if classifier is True and ``y`` is either
  1964	        binary or multiclass, :class:`StratifiedKFold` is used. In all other
  1965	        cases, :class:`KFold` is used.
  1966	
  1967	        Refer :ref:`User Guide <cross_validation>` for the various
  1968	        cross-validation strategies that can be used here.
  1969	
  1970	        .. versionchanged:: 0.22
  1971	            ``cv`` default value changed from 3-fold to 5-fold.
  1972	
  1973	    y : array-like, optional
  1974	        The target variable for supervised learning problems.
  1975	
  1976	    classifier : boolean, optional, default False
  1977	        Whether the task is a classification task, in which case
  1978	        stratified KFold will be used.
  1979	
  1980	    Returns
  1981	    -------
  1982	    checked_cv : a cross-validator instance.
  1983	        The return value is a cross-validator which generates the train/test
  1984	        splits via the ``split`` method.
  1985	    """
  1986	    cv = 5 if cv is None else cv
  1987	    if isinstance(cv, numbers.Integral):
  1988	        if (classifier and (y is not None) and
  1989	                (type_of_target(y) in ('binary', 'multiclass'))):
  1990	            return StratifiedKFold(cv)
  1991	        else:
  1992	            return KFold(cv)
  1993	
  1994	    if not hasattr(cv, 'split') or isinstance(cv, str):
  1995	        if not isinstance(cv, Iterable) or isinstance(cv, str):
  1996	            raise ValueError("Expected cv as an integer, cross-validation "
  1997	                             "object (from sklearn.model_selection) "
  1998	                             "or an iterable. Got %s." % cv)
  1999	        return _CVIterableWrapper(cv)
  2000	
  2001	    return cv  # New style cv objects are passed without any modification
  2002	
  2003	
  2004	def train_test_split(*arrays, **options):
  2005	    """Split arrays or matrices into random train and test subsets
  2006	
  2007	    Quick utility that wraps input validation and
  2008	    ``next(ShuffleSplit().split(X, y))`` and application to input data
  2009	    into a single call for splitting (and optionally subsampling) data in a
  2010	    oneliner.
  2011	
  2012	    Read more in the :ref:`User Guide <cross_validation>`.
  2013	
  2014	    Parameters
  2015	    ----------
  2016	    *arrays : sequence of indexables with same length / shape[0]
  2017	        Allowed inputs are lists, numpy arrays, scipy-sparse
  2018	        matrices or pandas dataframes.
  2019	
  2020	    test_size : float, int or None, optional (default=None)
  2021	        If float, should be between 0.0 and 1.0 and represent the proportion
  2022	        of the dataset to include in the test split. If int, represents the
  2023	        absolute number of test samples. If None, the value is set to the
  2024	        complement of the train size. If ``train_size`` is also None, it will
  2025	        be set to 0.25.
  2026	
  2027	    train_size : float, int, or None, (default=None)
  2028	        If float, should be between 0.0 and 1.0 and represent the
  2029	        proportion of the dataset to include in the train split. If
  2030	        int, represents the absolute number of train samples. If None,
  2031	        the value is automatically set to the complement of the test size.
  2032	
  2033	    random_state : int, RandomState instance or None, optional (default=None)
  2034	        If int, random_state is the seed used by the random number generator;
  2035	        If RandomState instance, random_state is the random number generator;
  2036	        If None, the random number generator is the RandomState instance used
  2037	        by `np.random`.
  2038	
  2039	    shuffle : boolean, optional (default=True)
  2040	        Whether or not to shuffle the data before splitting. If shuffle=False
  2041	        then stratify must be None.
  2042	
  2043	    stratify : array-like or None (default=None)
  2044	        If not None, data is split in a stratified fashion, using this as
  2045	        the class labels.
  2046	
  2047	    Returns
  2048	    -------
  2049	    splitting : list, length=2 * len(arrays)
  2050	        List containing train-test split of inputs.
  2051	
  2052	        .. versionadded:: 0.16
  2053	            If the input is sparse, the output will be a
  2054	            ``scipy.sparse.csr_matrix``. Else, output type is the same as the
  2055	            input type.
  2056	
  2057	    Examples
  2058	    --------
  2059	    >>> import numpy as np
  2060	    >>> from sklearn.model_selection import train_test_split
  2061	    >>> X, y = np.arange(10).reshape((5, 2)), range(5)
  2062	    >>> X
  2063	    array([[0, 1],
  2064	           [2, 3],
  2065	           [4, 5],
  2066	           [6, 7],
  2067	           [8, 9]])
  2068	    >>> list(y)
  2069	    [0, 1, 2, 3, 4]
  2070	
  2071	    >>> X_train, X_test, y_train, y_test = train_test_split(
  2072	    ...     X, y, test_size=0.33, random_state=42)
  2073	    ...
  2074	    >>> X_train
  2075	    array([[4, 5],
  2076	           [0, 1],
  2077	           [6, 7]])
  2078	    >>> y_train
  2079	    [2, 0, 3]
  2080	    >>> X_test
  2081	    array([[2, 3],
  2082	           [8, 9]])
  2083	    >>> y_test
  2084	    [1, 4]
  2085	
  2086	    >>> train_test_split(y, shuffle=False)
  2087	    [[0, 1, 2], [3, 4]]
  2088	
  2089	    """
  2090	    n_arrays = len(arrays)
  2091	    if n_arrays == 0:
  2092	        raise ValueError("At least one array required as input")
  2093	    test_size = options.pop('test_size', None)
  2094	    train_size = options.pop('train_size', None)
  2095	    random_state = options.pop('random_state', None)
  2096	    stratify = options.pop('stratify', None)
  2097	    shuffle = options.pop('shuffle', True)
  2098	
  2099	    if options:
  2100	        raise TypeError("Invalid parameters passed: %s" % str(options))
  2101	
  2102	    arrays = indexable(*arrays)
  2103	
  2104	    n_samples = _num_samples(arrays[0])
  2105	    n_train, n_test = _validate_shuffle_split(n_samples, test_size, train_size,
  2106	                                              default_test_size=0.25)
  2107	
  2108	    if shuffle is False:
  2109	        if stratify is not None:
  2110	            raise ValueError(
  2111	                "Stratified train/test split is not implemented for "
  2112	                "shuffle=False")
  2113	
  2114	        train = np.arange(n_train)
  2115	        test = np.arange(n_train, n_train + n_test)
  2116	
  2117	    else:
  2118	        if stratify is not None:
  2119	            CVClass = StratifiedShuffleSplit
  2120	        else:
  2121	            CVClass = ShuffleSplit
  2122	
  2123	        cv = CVClass(test_size=n_test,
  2124	                     train_size=n_train,
  2125	                     random_state=random_state)
  2126	
  2127	        train, test = next(cv.split(X=arrays[0], y=stratify))
  2128	
  2129	    return list(chain.from_iterable((safe_indexing(a, train),
  2130	                                     safe_indexing(a, test)) for a in arrays))
  2131	
  2132	
  2133	# Tell nose that train_test_split is not a test.
  2134	# (Needed for external libraries that may use nose.)
  2135	train_test_split.__test__ = False
  2136	
  2137	
  2138	def _build_repr(self):
  2139	    # XXX This is copied from BaseEstimator's get_params
  2140	    cls = self.__class__
  2141	    init = getattr(cls.__init__, 'deprecated_original', cls.__init__)
  2142	    # Ignore varargs, kw and default values and pop self
  2143	    init_signature = signature(init)
  2144	    # Consider the constructor parameters excluding 'self'
  2145	    if init is object.__init__:
  2146	        args = []
  2147	    else:
  2148	        args = sorted([p.name for p in init_signature.parameters.values()
  2149	                       if p.name != 'self' and p.kind != p.VAR_KEYWORD])
  2150	    class_name = self.__class__.__name__
  2151	    params = dict()
  2152	    for key in args:
  2153	        # We need deprecation warnings to always be on in order to
  2154	        # catch deprecated param values.
  2155	        # This is set in utils/__init__.py but it gets overwritten
  2156	        # when running under python3 somehow.
  2157	        warnings.simplefilter("always", DeprecationWarning)
  2158	        try:
  2159	            with warnings.catch_warnings(record=True) as w:
  2160	                value = getattr(self, key, None)
  2161	            if len(w) and w[0].category == DeprecationWarning:
  2162	                # if the parameter is deprecated, don't show it
  2163	                continue
  2164	        finally:
  2165	            warnings.filters.pop(0)
  2166	        params[key] = value
  2167	
  2168	    return '%s(%s)' % (class_name, _pprint(params, offset=len(class_name)))
  2169	</function_results>

The file is quite long. Let's search for the `RepeatedKFold` and `RepeatedStratifiedKFold` classes:

<antml:function_calls>
<antml:invoke name="bash">
<antml:parameter name="command">grep -n "class RepeatedKFold\|class RepeatedStratifiedKFold" /testbed/sklearn/model_selection/_split.py</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>1167:class RepeatedKFold(_RepeatedSplits):
1220:class RepeatedStratifiedKFold(_RepeatedSplits):</function_results>

Let's look at these classes and their parent class:

<antml:function_calls>
<antml:invoke name="str_replace_based_edit_tool">
<antml:parameter name="command">view</antml:parameter>
<antml:parameter name="path">/testbed/sklearn/model_selection/_split.py</antml:parameter>
<antml:parameter name="view_range">[1100, 1300]</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>Here's the content of /testbed/sklearn/model_selection/_split.py with line numbers (which has a total of 2169 lines) with view_range=[1100, 1300]:
  1100	
  1101	        self.cv = cv
  1102	        self.n_repeats = n_repeats
  1103	        self.random_state = random_state
  1104	        self.cvargs = cvargs
  1105	
  1106	    def split(self, X, y=None, groups=None):
  1107	        """Generates indices to split data into training and test set.
  1108	
  1109	        Parameters
  1110	        ----------
  1111	        X : array-like, shape (n_samples, n_features)
  1112	            Training data, where n_samples is the number of samples
  1113	            and n_features is the number of features.
  1114	
  1115	        y : array-like, of length n_samples
  1116	            The target variable for supervised learning problems.
  1117	
  1118	        groups : array-like, with shape (n_samples,), optional
  1119	            Group labels for the samples used while splitting the dataset into
  1120	            train/test set.
  1121	
  1122	        Yields
  1123	        ------
  1124	        train : ndarray
  1125	            The training set indices for that split.
  1126	
  1127	        test : ndarray
  1128	            The testing set indices for that split.
  1129	        """
  1130	        n_repeats = self.n_repeats
  1131	        rng = check_random_state(self.random_state)
  1132	
  1133	        for idx in range(n_repeats):
  1134	            cv = self.cv(random_state=rng, shuffle=True,
  1135	                         **self.cvargs)
  1136	            for train_index, test_index in cv.split(X, y, groups):
  1137	                yield train_index, test_index
  1138	
  1139	    def get_n_splits(self, X=None, y=None, groups=None):
  1140	        """Returns the number of splitting iterations in the cross-validator
  1141	
  1142	        Parameters
  1143	        ----------
  1144	        X : object
  1145	            Always ignored, exists for compatibility.
  1146	            ``np.zeros(n_samples)`` may be used as a placeholder.
  1147	
  1148	        y : object
  1149	            Always ignored, exists for compatibility.
  1150	            ``np.zeros(n_samples)`` may be used as a placeholder.
  1151	
  1152	        groups : array-like, with shape (n_samples,), optional
